"","STATION","lat","long","Saturday 00:00","Saturday 04:00","Saturday 08:00","Saturday 12:00","Saturday 16:00","Saturday 20:00","Sunday 00:00","Sunday 05:00","Sunday 09:00","Sunday 13:00","Sunday 17:00","Sunday 21:00","Monday 01:00","Monday 05:00","Monday 09:00","Monday 13:00","Monday 17:00","Monday 21:00","Tuesday 01:00","Tuesday 05:00","Tuesday 09:00","Tuesday 13:00","Tuesday 17:00","Tuesday 21:00","Wednesday 01:00","Wednesday 05:00","Wednesday 09:00","Wednesday 13:00","Wednesday 17:00","Wednesday 21:00","Thursday 01:00","Thursday 05:00","Thursday 09:00","Thursday 13:00","Thursday 17:00","Thursday 21:00","Friday 01:00","Friday 05:00","Friday 09:00","Friday 13:00","Friday 17:00"
"67","45 ST",40.648939,-74.010006,-235,396,654,516,-175,-409,-71,519,358,-202,-357,-110,1563,1694,381,-156,-523,-110,1734,1718,428,-271,-595,-113,1798,1700,449,-322,-504,-174,1774,1668,455,-239,-563,-178,1590,1626,481,-144,-1781
"68","46 ST",40.756312,-73.913333,-236,444,814,397,-238,-418,-122,370,639,114,-165,-545,-33,2322,1203,261,-1876,-450,1,2547,1370,200,-1664,-698,-24,2605,1374,310,-1691,-886,-17,2488,1385,358,-1484,-929,-31,2241,1338,199,-1251
"69","46 ST BLISS ST",40.743132,-73.918435,-398,594,1792,1128,-289,-834,7,1377,913,-508,-812,-244,2033,3711,686,-1144,-1357,-262,2504,3860,664,-1226,-1457,-255,2440,3805,683,-1492,-1567,-313,2390,3163,1234,-1393,-1517,-372,2317,3671,740,-944,0
"70","47-50 STS ROCK",40.758663,-73.981329,892,-1506,-4497,-2642,2081,2807,-109,-4673,-2381,3077,1676,339,-8180,-32170,-2540,31195,5433,920,-8800,-35517,995,33180,6816,911,-9063,-35870,843,32225,7497,971,-8597,-35170,711,30799,6971,1109,-8095,-33868,2431,27127,0
"71","49 ST",40.759901,-73.984139,638,-59,1312,1435,2330,2521,337,416,610,2100,1225,94,-2127,-5036,586,7705,2238,418,-2535,-4940,784,6615,3797,472,-2463,-5041,255,7647,3905,492,-2327,-5022,559,6541,3804,476,-2171,-4386,999,5748,0
"72","4 AV-9 ST",40.670272,-73.989779,-77,-9,11,232,101,-46,-11,74,-10,63,-39,-10,-18,162,-105,-558,-376,-33,60,78,11,-751,-489,-79,-24,209,-142,-772,-498,-68,15,131,-247,-683,-445,-81,-21,169,-139,-782,0
"73","4AV-9 ST",40.670272,-73.989779,3,-97,175,704,333,113,-13,177,282,167,55,-1,371,1941,413,69,69,-30,503,2218,479,-38,-186,-9,567,2328,407,76,-73,-9,501,2200,470,217,18,-49,428,1533,856,340,0
"74","50 ST",40.63626,-73.994791,1438,-375,1486,73,1652,3849,1241,444,122,2878,2263,420,-2866,-6275,3427,12218,3424,630,-2994,-6254,3596,11459,5501,757,-2975,-6967,3097,12517,5592,761,-3083,-6318,3376,11058,5639,866,-2710,-6092,4202,10863,0
"75","51 ST",40.757107,-73.97192,298,-601,83,-379,-254,108,-112,-439,-518,-85,43,-13,-2516,-5784,-1727,7059,1453,262,-2799,-8481,-16,7657,1582,303,-2720,-8742,208,7073,1730,310,-2612,-8692,290,6617,1581,342,-2420,-8344,103,6410,0
"76","52 ST",40.757107,-73.97192,-191,475,749,112,-606,-580,-177,248,628,121,-591,-539,-31,2107,976,-286,-1771,-841,-31,2331,1088,-176,-1866,-903,-69,2314,1073,-262,-1731,-996,-57,2269,1156,-194,-1773,-1052,-73,2186,1086,-349,-1491
"77","53 ST",40.645069,-74.014034,-182,427,854,672,211,-224,122,672,589,97,-191,-73,1674,1731,650,651,-192,-79,1793,1760,889,529,-235,-96,1748,1664,720,672,-98,-160,1733,1724,812,606,-131,-141,1655,1650,805,526,0
"78","55 ST",40.631435,-73.995476,-18,62,112,128,3,23,18,58,202,104,35,-7,287,222,194,306,70,-13,311,316,243,350,-20,-5,315,283,229,280,-6,-3,296,212,217,341,28,-14,279,223,294,325,0
"79","57 ST",40.764664,-73.980658,60,-586,147,1883,2620,747,63,-459,-67,1816,1640,406,-13,-3546,-2824,1863,5910,978,30,-4438,-2471,2198,6403,1223,22,-4018,-2799,1969,6252,1362,61,-4057,-3023,2097,6277,1542,60,-3881,-2876,2243,5772
"80","57 ST-7 AV",40.764664,-73.980658,356,-257,-152,1276,2757,1247,143,126,888,1878,631,138,-1551,-3445,2880,10262,3510,497,-1912,-3641,2743,10441,4089,570,-1788,-3510,2670,10526,4638,611,-1601,-4053,3141,10237,4717,639,-1444,-3627,2535,9276,0
"81","59 ST",40.641362,-74.017881,420,-292,-1005,1548,5912,2881,621,-445,1000,2723,1145,132,-2895,-9371,3483,19052,5473,420,-3327,-10516,4012,20337,6088,481,-3161,-10790,4112,19636,6620,552,-3193,-11165,3939,19570,6397,715,-3234,-11171,4953,19359,0
"82","59 ST COLUMBUS",40.768247,-73.981929,1351,-1007,-2714,279,6383,4421,784,-1200,128,6135,2753,465,-4119,-8646,5208,18883,7697,784,-4933,-11440,6595,19208,10396,993,-4963,-11072,5635,19648,11252,1016,-4747,-10666,5172,19982,10656,1183,-3922,-8797,3649,18879,0
"83","5 AV/53 ST",40.760167,-73.975224,-113,-2422,-3582,-829,1080,518,-36,-1455,-4267,-2,824,137,-416,-17158,-3318,9041,6866,519,-438,-17289,-2964,9524,7928,580,-419,-16693,-3088,9138,7801,694,-427,-16596,-2500,8796,7437,690,-400,-15549,-2831,9012,6587
"84","5 AV/59 ST",40.764811,-73.973347,-8,-5,-2,-3,-2,-1,0,0,0,2,1,2,-103,-3329,-1939,4915,4390,574,-101,-4791,-844,5879,4585,625,-135,-4630,-942,5873,4849,705,-117,-4789,-722,5987,5053,798,-91,-4365,-666,5470,4437
"85","5 AVE",40.764811,-73.973347,197,-254,-1103,-860,784,391,70,-1169,-650,819,461,8,-1347,-5866,298,5632,1468,179,-1350,-5567,450,5790,1877,222,-1354,-5224,435,5851,1904,221,-1165,-5131,507,5402,1900,234,-1069,-5108,-52,5707,0
"86","63 DR-REGO PARK",40.729846,-73.861604,-98,534,1591,1620,1340,685,306,1234,1276,906,157,3,2857,4684,1522,986,129,-25,3244,4729,1732,763,127,-27,3164,4867,1674,833,126,-44,3157,4739,1838,1016,185,-28,2987,4400,1547,1188,0
"87","65 ST",40.749669,-73.898453,-51,382,587,194,-152,-213,-74,213,403,216,-114,-206,14,1347,605,123,-608,-282,-17,1388,677,17,-563,-320,-36,1371,737,27,-534,-341,-13,1437,691,109,-684,-320,-19,1371,619,-34,-507
"88","66 ST-LINCOLN",40.77344,-73.982209,144,-569,-1297,575,690,2605,90,-310,-548,116,1323,269,9,-3045,-1688,3671,2326,1520,-32,-3117,-1654,3608,2889,2075,-15,-3285,-1609,3637,2348,2148,-73,-3186,-1180,3739,1717,2161,-44,-3030,-1625,3593,1086
"89","67 AV",40.726523,-73.852719,-89,250,1075,932,157,-99,26,829,621,35,-85,-42,1874,3094,1173,-870,-370,-37,2040,3255,1356,-1073,-459,-21,1996,3215,1384,-754,-538,-61,1939,3348,1255,-782,-386,-44,1947,3383,601,-637,3263.5
"90","68ST-HUNTER CO",40.768141,-73.96387,-65,-971,-226,1518,1695,580,-87,-485,-577,989,1153,256,-78,-4539,-2074,7413,8751,1965,-45,-4417,-2202,8370,9928,2390,-69,-4277,-1352,7379,9305,2254,-77,-4709,-1886,8128,9552,2224,-80,-4566,-1078,8743,7613
"91","69 ST",40.768141,-73.96387,-101,142,273,65,-503,-455,-104,95,287,-11,-380,-337,0,1358,494,-390,-782,-539,-18,1395,642,-381,-879,-578,-17,1344,568,-323,-894,-566,-26,1353,589,-78,-896,-615,-76,1308,493,-258,-801
"92","6 AV",40.737335,-73.996786,189,-3,7,566,1171,778,198,-25,347,744,547,70,128,-69,556,1832,930,85,113,-193,582,1943,1081,112,121,-141,583,1908,1170,98,89,-165,617,1889,1123,121,123,-135,714,2076,0
"93","71 ST",40.619589,-73.998864,-93,623,1351,659,46,-106,219,1129,494,10,-196,-26,2157,2302,416,-408,-306,-60,2382,2365,526,-296,-346,-49,2346,2436,558,-333,-337,-67,2302,2372,462,-217,-299,-46,2141,2255,563,-138,0
"94","72 ST",40.775594,-73.97641,20,-1260,-1321,1047,3087,857,-82,-990,-349,1312,824,46,-74,1790,981,2192,-2330,1184,-173,1521,1057,2443,-3379,1246,-117,1092,1437,2286,-2268,1259,-161,1292,545,2534,-614,269,-105,326,952,2368,-690
"95","74 ST-BROADWAY",40.746848,-73.891394,-114,10,-208,-174,-365,-198,-95,-136,-184,-365,-150,-73,172,120,-370,-935,-327,-82,188,124,-321,-936,-270,-27,187,94,-385,-764,-381,-84,160,112,-294,-876,-427,-117,173,67,-437,-901.5,0
"96","75 AV",40.718331,-73.837324,20,83,464,480,374,178,70,302,364,217,132,9,794,1502,400,513,153,6,866,1542,456,626,152,5,842,1558,471,548,128,1,864,1493,470,632,142,1,780,1488,478,565,0
"97","75 ST-ELDERTS",40.691324,-73.867139,-125,345,504,297,-173,-188,86,382,185,-110,-130,-50,1252,499,224,-421,-250,-66,1363,629,198,-640,-513,-120,1195,464,148,-1074,-484,-144,1274,436,77,-1079,-501,-175,1192,354,177,-908,0
"98","77 ST",40.629742,-74.02551,-113,-1202,-918,1321,2077,780,64,-329,-845,131,485,281,1489,381,-802,3416,-152,393,1602,1212,-759,3710,-251,339,1593,912,-283,3830,298,274,1558,711,-456,4050,678,553,1428,268,-778,3953,2149
"99","79 ST",40.613501,-74.00061,34,520,2303,2734,2591,847,353,1146,1352,1291,1479,540,1871,3269,2757,2149,1597,444,2085,3555,2924,2280,1599,495,2102,3646,3342,2167,1937,471,2170,3562,3030,2279,2014,517,2000,3281,2975,2448,2194
"100","7 AV",40.67705,-73.972367,77,-645,1530,1468,1174,1018,85,-257,1066,534,774,750,-91,382,-208,3082,3646,509,65,2072,-1772,3544,4390,926,9,599,-168,3012,4680,692,-25,650,116,3227,4453,160,62,411,290,3353,3541
"101","80 ST",40.679371,-73.858992,32,155,190,168,108,23,27,111,121,137,49,24,58,724,307,182,104,18,41,710,329,171,86,32,53,718,303,177,80,24,44,714,287,163,93,33,53,706,246,201,111
"102","81 ST-MUSEUM",40.781433,-73.972143,-15,-140,-2747,1158,2549,106,1,-135,-1396,1596,1938,10,3,9,-4188,2989,2484,113,-5,-109,-1893,2625,1702,22,6,-74,-1284,2326,1764,147,0,-100,-1218,1924,1944,272,6,-99,-2385,2841,2400
"103","82 ST-JACKSON H",40.747659,-73.883697,-660,513,335,-336,-1216,-1256,-361,433,-491,-1083,-948,-344,2182,953,-689,-2991,-1487,-505,2251,1170,-923,-3442,-1546,-467,2301,1219,-724,-3109,-1935,-536,2200,779,-118,-3151,-1863,-557,2188,1299,-1022,-3004,0
"104","85 ST-FOREST PK",40.692435,-73.86001,-87,384,597,380,23,-22,121,382,230,53,-36,-21,1468,1029,215,-467,-209,-62,1578,1107,185,-498,-233,-57,1588,1095,141,-482,-242,-36,1595,1073,203,-481,-178,-71,1484,944,259,-347,0
"105","86 ST",40.622687,-74.028398,-88,-840,-333,3845,4769,2907,-175,-826,1229,2147,275,269,3217,9211,3927,-66,-1728,-217,3674,11935,5102,625,-1834,-355,3814,12488,5246,506,-2251,-596,3556,11620,5127,1632,-1853,-435,2713,9130,4529,2421,-1154
"106","88 ST",40.679843,-73.85147,-27,403,496,275,19,-1,-4,248,300,234,48,-1,73,2143,618,148,-369,-47,68,2355,591,239,-401,-82,68,2325,739,179,-416,-75,56,2354,674,186,-349,-88,66,2165,607,153,-254
"107","8 AV",40.635064,-74.011719,1289,101,-355,3053,4030,1587,1250,-99,-215,2688,3282,904,320,2600,332,2175,4349,1699,308,2686,768,2738,4699,1974,310,2430,478,2890,4958,2187,436,2337,757,2965,4844,2644,776,2411,390,2850,4328
"108","8 ST-NYU",40.730328,-73.992629,896,18,-309,276,942,1617,675,-206,183,503,1051,191,-206,-144,778,2510,2372,338,-85,-54,1183,2822,2469,379,-7,-11,1054,2791,2767,452,-194,37,1006,2548,2962,457,-83,226,1502,2107,0
"109","90 ST-ELMHURST",40.748408,-73.876613,-326,1564,2244,1724,250,-176,353,1999,1615,104,-448,-231,4805,3606,1159,-325,-767,-277,5160,3945,1180,-379,-878,-373,5090,4085,1242,-216,-1001,-410,5172,3966,1233,-744,-1318,-488,4908,3666,959,79,0
"110","96 ST",40.791646,-73.964699,-825,-28,5650,3577,2490,-395,-841,234,4072,2282,56,-802,-70,8915,7767,7528,747,-4196,-722,9865,8550,8817,220,-4370,-487,9565,9171,8569,2053,-4233,-574,9139,8580,8799,3060,-4299,-758,7738,8427,8187,3669
"111","9 AV",40.646292,-73.994324,-137,523,793,140,-688,-702,-175,323,796,-7,-604,-621,-6,1998,873,-558,-1498,-744,-41,2104,889,-546,-1311,-888,-31,2107,883,-589,-1351,-923,-34,2042,953,-387,-1457,-865,-59,2003,857,-446,-1128
"112","9TH STREET",40.670847,-73.988302,162,-396,-914,-315,417,627,189,-378,-493,327,212,137,5,-1171,-769,61,1460,343,-110,-1717,-541,720,1476,191,-491,-1552,-170,292,1358,397,81,-1591,-479,-185,1455,675,12,-1416,-564,239,993
"113","ALABAMA AV",40.676992,-73.898654,-17,38,85,34,5,3,7,22,26,21,-82,4,23,46,64,147,47,-9,10,-23,131,89,-26,-56,2,31,84,66,-24,-28,7,83,80,60,-44,-55,5,10,80,90,15
"114","ALLERTON AV",40.865462,-73.867352,-5,554,618,542,331,151,24,294,462,432,230,94,85,1893,740,478,95,6,75,2140,746,530,37,-5,91,2097,817,631,133,1,74,2071,805,656,174,8,63,1983,810,607,244
"115","AQUEDUCT N.COND",40.668234,-73.834058,-19,2,-497,-507,-222,-113,-35,-4,-113,-273,-157,-75,19,572,-150,-300,-621,-80,4,626,-183,-380,-591,-127,25,591,-222,-412,-592,-115,7,585,-353,-499,-609,-112,15,551,-448,-583,-631
"116","AQUEDUCT RACETR",40.672131,-73.835812,-133,189,38,346,981,538,411,14,238,423,293,111,162,49,237,401,264,118,173,62,228,497,281,109,160,59,313,527,351,108,187,85,327,772,383,138,192,56,350,814,0
"117","ASTORIA BLVD",40.770258,-73.917843,-285,372,1567,1251,513,-322,-8,1053,783,149,-294,-132,2135,4314,596,-2081,-1252,-248,2256,4714,79,-2178,-1609,-200,2277,4699,277,-1924,-1711,-339,2249,4634,167,-1779,-1745,-372,2001,4531,519,-1493,0
"118","ASTORIA DITMARS",40.775036,-73.912034,-561,414,1908,1316,-513,-942,-384,1285,748,-682,-831,-315,3055,5975,199,-5025,-2570,-423,3451,6774,65,-5038,-2754,-413,3381,6744,283,-4815,-3047,-560,3272,6725,410,-4329,-3028,-645,3017,6320,422,-4185,0
"119","ASTOR PL",40.730054,-73.99107,627,-235,-1648,-700,-1306,1393,541,-163,-1022,-409,-138,687,116,165,-1351,-256,-806,1335,121,210,-1253,-56,-978,1607,171,289,-1483,-45,-884,1693,166,168,-1220,-1,-1146,1513,185,126,-1131,-325,-2465
"120","ATLANTIC AV",40.675345,-73.903097,15,54,105,101,104,30,42,74,122,50,89,3,242,237,65,273,20,15,279,234,126,253,62,2,272,201,118,279,36,10,272,184,175,256,37,2,252,251,193,290,0
"121","ATL AV-BARCLAY",40.683666,-73.97881,1796,-154,-681,-959,-3792,6715,448,-487,-283,-3030,5163,311,1583,3959,1405,-8202,4685,237,1953,4308,1436,-7701,4231,120,1812,4375,1340,-7632,4041,278,1898,3376,1999,-7669,4129,108,1105,3337,742,-1938,0
"122","AVENUE H",40.62927,-73.961639,-137,48,338,190,-127,-175,-74,219,121,-108,-185,-54,514,485,391,-252,-182,-70,588,452,350,-250,-169,-64,574,405,387,-185,-179,-66,579,602,375,-181,-277,-95,598,591,304,-262,0
"123","AVENUE I",40.625322,-73.976127,-18,27,39,11,-71,-52,-17,-17,-29,-17,-13,12,-10,-61,96,208,-84,-50,7,-20,92,209,-189,-50,6,-12,98,216,-171,-37,-6,14,134,288,-244,-28,-14,-81,116,227,-127
"124","AVENUE J",40.625039,-73.960803,-54,261,664,522,186,8,101,529,526,213,-10,-19,858,1344,786,582,-57,-30,987,1488,743,526,-5,-36,920,1472,847,540,47,-25,942,1441,802,641,42,-18,854,1325,907,381,0
"125","AVENUE M",40.617618,-73.959399,-11,207,491,428,244,94,151,513,480,295,81,-11,422,1008,1673,932,124,10,882,596,1746,824,64,10,526,940,1835,946,116,12,858,551,1684,972,293,2,511,1686,955,735,0
"126","AVENUE N",40.61514,-73.974197,-50,264,251,111,-85,-129,-48,121,284,146,-65,-138,12,1242,424,152,-177,-193,-3,1322,463,94,-336,-184,-2,1357,441,105,-357,-213,3,1280,427,187,-358,-180,-17,1153,465,154,-271
"127","AVENUE P",40.608944,-73.973022,-43,265,361,313,49,-53,98,327,228,21,-11,1,896,840,178,-22,-155,-3,952,898,212,-97,-173,-1,979,856,204,-180,-132,-34,976,847,220,-189,-148,8,917,737,180,-27,-195.5
"128","AVENUE U",40.5993,-73.955929,-3,1160,1515,955,192,-183,-44,802,1293,553,-8,-170,64,4473,1597,457,-695,-383,93,4673,1904,640,-735,-378,65,4687,1813,634,-683,-423,123,4578,1830,628,-634,-393,1265,3254,1632,630,-662
"129","AVENUE X",40.58962,-73.97425,10,181,366,292,155,86,117,272,220,137,36,12,754,636,415,264,116,5,843,733,435,293,117,7,842,707,399,331,105,16,848,666,436,318,126,17,828,636,359,274,475.5
"130","BAY 50 ST",40.588841,-73.983765,23,429,521,223,176,17,3,290,450,216,139,20,33,1087,476,449,268,3,50,1215,506,466,257,14,37,1206,557,486,309,20,33,1161,460,574,352,31,42,1087,471,607,289
"131","BAYCHESTER AV",40.878663,-73.838591,7,305,313,367,277,14,10,191,225,240,171,44,52,1889,529,733,374,34,43,2025,661,719,382,47,43,2034,687,765,326,29,52,1993,657,801,309,58,37,1899,665,771,318
"132","BAY PKWY",40.601875,-73.993728,-236,2369,2665,403,-1136,-727,68,1207,2375,167,-998,-736,32,8488,2556,2,-4249,-1219,-19,9074,2952,-287,-3993,-1313,-31,8926,2844,-41,-4136,-1331,3,9087,2733,-164,-3970,-1527,-84,8501,2607,-17,-3641
"133","BAY RIDGE AV",40.634967,-74.023377,-224,698,1747,1384,345,-141,235,1510,821,225,-116,-86,3571,4150,1284,-1094,-620,-213,3984,4436,1430,-1214,-842,-183,3951,4604,1470,-1174,-880,-187,3842,4559,1397,-951,-855,-207,3540,4274,1282,-690,1771.5
"134","BEACH 105 ST",40.583209,-73.827559,-2,4,9,-4,-20,-17,-5,-2,3,5,-6,-23,-4,71,11,21,-104,-18,-7,93,-3,27,-117,-32,-4,90,-6,43,-119,-24,-2,75,5,45,-108,-35,-3,94,11,8,-98
"135","BEACH 25 ST",40.600066,-73.761353,-141,107,171,89,-160,-125,-82,118,23,-86,-132,-77,541,225,101,-612,-308,-71,634,201,26,-613,-387,-86,674,196,167,-680,-301,-95,638,194,125,-553,-343,-148,557,193,148,-541,0
"136","BEACH 36 ST",40.595398,-73.768175,-71,35,97,19,-23,-91,-82,66,2,-40,-124,-36,351,132,-68,-268,-150,-33,377,134,-70,-259,-206,-50,379,175,-49,-359,-167,-46,375,122,-35,-294,-194,-81,354,133,-55,-262,0
"137","BEACH 44 ST",40.592943,-73.776013,-63,23,0,8,-19,-72,-50,49,-4,-78,-57,-36,205,99,21,-179,-87,-23,238,83,-15,-170,-124,-41,222,107,-31,-186,-103,-25,224,98,-54,-180,-101,-44,192,95,-14,-159,0
"138","BEACH 60 ST",40.592374,-73.788522,-171,136,254,138,-179,-257,-130,227,85,-125,-293,-83,817,344,-92,-657,-371,-57,926,416,-52,-679,-437,-71,881,468,-92,-715,-349,-114,890,427,40,-724,-379,-150,833,394,5,-540,0
"139","BEACH 67 ST",40.590927,-73.796924,-173,125,134,112,-90,-224,-100,122,35,-105,-156,-65,779,344,-44,-722,-350,-96,815,347,-29,-877,-394,-115,832,400,-73,-767,-377,-102,863,381,-1,-715,-456,-115,751,329,-55,-628,0
"140","BEACH 90 ST",40.588034,-73.813641,-45,62,39,27,-48,-56,-26,20,3,30,-45,-57,1,373,18,-11,-259,-63,-17,409,63,-4,-216,-88,-7,419,42,-8,-259,-74,-1,450,45,-34,-281,-87,-7,383,56,3,-188
"141","BEACH 98 ST",40.585307,-73.820558,-20,8,27,9,-10,-24,-16,25,15,-7,-10,-30,1,125,12,132,-128,-50,-12,108,11,80,-172,-49,-6,109,7,132,-140,-52,-8,123,8,108,-121,-48,-9,151,27,97,-126
"142","BEDFORD AV",40.717304,-73.956872,801,180,-51,-710,-366,-1268,1039,108,-563,28,-162,19,772,4870,128,-5917,-2274,-103,844,5735,39,-6686,-2362,-46.5,1001,5548,306,-6611,-2900,264,708,5460,205,-5943,-3253,124,450,4969,359,-7223,0
"143","BEDFORD-NOSTRAN",40.689627,-73.953522,-229,199,1213,1170,330,-67,-87,968,831,195,-352,-94,1263,3049,696,-326,-543,-129,1429,3066,588,-347,-565,-142,1377,3141,652,-203,-617,-175,1339,3110,709,-151,-564,-197,1228,3032,752,6,0
"144","BEDFORD PK BLVD",40.873244,-73.887138,-215,958,864,572,-145,-135,-27,563,724,400,-122,-319,692,3139,1692,328,-755,-418,682,3347,1495,458,-874,-494,663,3369,1710,539,-804,-440,749,3304,1775,452,-733,-439,611,4095,1837,141,-738
"145","BERGEN ST",40.686145,-73.990862,42,27,573,977,740,489,-27,115,462,440,613,254,161,3488,1698,218,-90,176,188,3500,1552,526,-293,149,184,3512,1802,511,-85,181,154,3329,1687,413,153,182,166,3098,1659,404,372
"146","BEVERLEY ROAD",40.644031,-73.964492,-273,127,275,123,-124,-195,-97,204,96,-300,-233,-68,785,902,49,-876,-442,-113,820,991,67,-677,-540,-116,832,959,48,-749,-549,-146,827,977,58,-727,-587,-146,780,907,56,-616,0
"147","BEVERLY RD",40.644031,-73.964492,16,344,583,542,393,218,256,385,472,296,143,10,1394,1461,554,327,109,-5,1507,1505,486,305,118,10,1530,1527,544,241,121,4,1521,1439,621,294,106,-7,1444,1354,609,365,0
"148","BLEECKER ST",40.725915,-73.994659,1092,146,377,1571,2832,1990,1114,411,1261,1751,1327,275,419,1435,1447,2802,2059,325,491,2032,1634,2976,2509,390,508,1801,1634,3137,2466,449,435,1733,1705,2978,2838,175,503,1940,1776,3159,0
"149","BOROUGH HALL",40.693219,-73.989998,313,-174,-287,925,1531,732,244,-100,645,705,491,131,-818,-479,5650,6763,1797,78,-722,1145,5125,7818,1996,148,-695,720,5473,8102,1897,102,-698,1111,4816,7910,1942,147,-690,1452,4027,6957,0
"150","BOTANIC GARDEN",40.670343,-73.959245,-58,-21,-173,-254,-105,-135,-57,-66,7,-188,-106,-73,-15,-253,-107,380,-218,-81,-17,-272,-293,364,-242,-100,-25,-254,-68,236,-148,-139,-27,-273,-199,335,-134,-126,-33,-296,-222,435,-372
"151","BOWERY",40.72028,-73.993915,221,-75,-390,-88,314,393,227,-449,-25,453,367,75,-99,-257,114,627,455,81,-153,-311,210,514,468,90,-104,-325,124,485,490,129,-143,-304,107,364,516,174,-142,-297,180,363,0
"152","BOWLING GREEN",40.704817,-74.014065,-14,-13,-21,-27,-13,-18,-26,-13,-5,-2,-19,-7,-1301,-7723,1784,10240,1009,-47,-1794,-8649,2296,11118,1250,-18,-1670,-8803,2190,11105,1143,-6,-1690,-8631,2878,10788,1155,-618,-855,-7098,2586,9375,0
"153","BRIARWOOD",40.709179,-73.820574,-91,217,628,453,24,-110,60,463,278,46,-87,-46,1318,969,380,-553,-356,-67,1484,1607,326,-590,-345,-83,1464,1658,322,-381,-356,-59,1468,1646,379,-493,-327,-73,1366,1529,390,-408,0
"154","BRIGHTON BEACH",40.577621,-73.961376,-150,448,778,866,384,-88,156,805,590,321,-9,-87,2126,1451,2155,468,-43,-104,2182,1431,2368,261,-24,-130,2314,1567,2220,375,-63,-129,2240,1505,2338,329,-127,-165,2188,1828,1373,-366,0
"155","BROAD CHANNEL",40.608382,-73.815925,-6,21,-5,26,14,1,2,9,-3,-5,20,5,21,177,25,5,8,0,26,181,32,15,7,3,20,186,37,21,2,3,17,181,30,32,-7,7,26,174,19,22,20
"156","BROAD ST",40.706476,-74.011056,-7,-51,74,682,724,172,15,-17,193,472,457,-125,-2,-655,-180,1862,3202,354,14,-724,-94,2031,3666,413,27,-682,-256,2050,3773,456,17,-664,-138,2056,3728,476,10,-774,-165,2069,3310
"157","BROADWAY",40.76182,-73.925508,-292,499,1842,1557,-34,-670,-174,1068,893,-7,-657,-290,1778,4850,724,-1826,-1488,-415,1958,5603,1323,-1717,-1809,-516,1995,5607,1416,-1744,-1657,-564,1935,5483,1438,-1385,-1681,-620,1819,4958,1067,-1118,-1
"158","BROADWAY JCT",40.678334,-73.905316,-247,271,631,351,-236,-492,-140,322,509,-164,-265,-161,1192,1232,110,-960,-394,-135,1220,1356,-6,-888,-383,-100,1283,1366,-83,-741,-460,-76,1375,1519,119,-984,-642,-143,1237,1361,110,-1088,8.5
"159","BRONX PARK EAST",40.848828,-73.868457,23,255,238,235,53,8,2,140,189,206,35,-24,30,1080,340,289,-48,2,47,1129,456,294,12,9,40,1161,378,275,-12,-28,45,1131,405,371,9,-24,43,1066,368,313,16
"160","BROOK AV",40.807566,-73.91924,-108,381,427,243,-245,-314,-143,230,321,265,-275,-323,-12,1184,231,322,-358,-492,-9,1268,384,221,-442,-534,-31,1384,408,269,-500,-506,-49,1335,351,-248,327,-373,-89,1241,447,293,-337
"161","BROOKLYN BRIDGE",40.712868,-74.004806,-94,-456,-1712,924,2294,674,-240,-569,48,1276,205,-6,-1854,-3189,-37,7659,1684,70,-2237,-6016,2300,8581,2067,100,-2169,-5300,2460,8738,2003,136,-2299,-5476,2571,8531,1945,97,-2241,219,-96.5,-309,-338.5
"162","BUHRE AV",40.84681,-73.832569,-69,200,188,29,-176,-210,-58,87,125,-7,-154,-119,15,1622,313,-360,-1218,-275,4,1753,264,-379,-1261,-322,-30,1804,286,-384,-1163,-341,-24,1688,337,-223,-1284,-332,-47,1679,254,-325,-1014
"163","BURKE AV",40.871356,-73.867164,12,362,441,393,155,52,0,188,289,312,88,33,58,1568,496,200,-12,-21,71,1683,537,268,-92,-44,51,1674,575,219,-111,-39,67,1682,611,267,-69,-34,54,1545,583,302,19
"164","BURNSIDE AV",40.853453,-73.907684,-197,709,1268,1220,275,-75,216,713,835,231,-64,-62,2131,1815,1490,635,-41,-137,2242,2070,1569,551,-34,-157,2349,1791,1537,536,-40,-176,2218,1955,1608,421,-62,-156,2247,1971,1484,507,0
"165","BUSHWICK AV",40.682829,-73.905249,-91,64,319,250,-17,-72,-16,265,219,-23,-150,-58,407,495,143,-153,-179,-92,437,547,117,-116,-211,-62,433,603,116,-87,-240,-96,417,590,128,-55,-267,-66,397,564,154,-47,0
"166","B'WAY-LAFAYETTE",40.725297,-73.996204,265,-1087,-4433,-2751,858,781,299,-623,-3396,-1797,1055,382,-12,-3623,-6690,-873,4378,1547,20,-4170,-6699,-382,4421,1806,21,-4875,-6691,-318,3994,1829,19,-4172,-7500,-587,3244,1837,70,-3825,-7323,-804,2702
"167","CANAL ST",40.720824,-74.005229,659,-1622,-6128,3756,8403,3427,464,-1468,-3933,4480,6617,1966,-1494,-9692,-4871,13101,15872,2823,-1709,-10831,-5067,15132,16484,3233,-1583,-10523,-5012,14480,16982,3362,-1741,-10791,-4344,14106,16258,3971,-1390,-9827,-4910,12146,13539
"168","CANARSIE-ROCKAW",40.646654,-73.90185,22,1197,1223,1283,766,282,-14,750,811,954,609,244,229,5638,1646,1979,904,178,237,6105,1896,1978,928,173,1363,4886,1861,1981,916,145,243,6063,1976,2137,1057,205,257,5182,1650,1570,794
