turnstile_name,gis_name
TIMES SQ-42 ST,TIMES SQUARE-42 ST
TOMPKINSVILLE,
TWENTY THIRD ST,23 ST
V.CORTLANDT PK,VAN CORTLANDT PARK-242 St
VAN SICLEN AVE,VAN SICLEN AV
VERNON-JACKSON,VERNON BLVD-JACKSON AV
W 4 ST-WASH SQ,WEST 4 ST
W 8 ST-AQUARIUM,WEST 8 ST
WAKEFIELD/241,
WEST FARMS SQ,
WESTCHESTER SQ,WESTCHESTER SQUARE-EAST TREMONT AV
WHITEHALL S-FRY,WHITEHALL ST
WORLD TRADE CTR,WORLD TRADE CENTER
